CustomerID,Recency,Frequency,Monetary,Cluster,CustomerSegment
12575.0,93,2,622.8199999999999,2,At-Risk / Lost
12576.0,28,3,826.89,1,New / Occasional
12577.0,17,5,990.5,3,Potential Loyalist
12578.0,21,2,1847.94,3,Potential Loyalist
12580.0,212,1,637.2,2,At-Risk / Lost
12582.0,58,2,1469.04,3,Potential Loyalist
12583.0,9,13,7166.0599999999995,0,High-Value Loyal
12586.0,10,3,1865.73,1,New / Occasional
12588.0,35,3,743.88,3,Potential Loyalist
12589.0,57,6,4048.98,3,Potential Loyalist
12591.0,26,2,886.1,1,New / Occasional
12592.0,155,3,2145.06,3,Potential Loyalist
12594.0,14,5,1751.89,3,Potential Loyalist
12595.0,140,1,299.02,2,At-Risk / Lost
12598.0,99,3,1511.01,3,Potential Loyalist
12599.0,17,6,1264.14,3,Potential Loyalist
12600.0,7,12,2444.88,0,High-Value Loyal
12601.0,40,1,104.19999999999999,2,At-Risk / Lost
12605.0,12,4,1232.95,1,New / Occasional
12606.0,318,1,21.0,2,At-Risk / Lost
12608.0,40,1,415.79,1,New / Occasional
12609.0,10,6,2309.01,0,High-Value Loyal
12613.0,24,5,3472.9900000000002,3,Potential Loyalist
12615.0,49,4,3449.79,3,Potential Loyalist
12616.0,24,1,417.8,1,New / Occasional
12619.0,196,1,140.14,2,At-Risk / Lost
12621.0,1,16,11086.14,0,High-Value Loyal
12623.0,52,6,3442.7400000000002,3,Potential Loyalist
12625.0,145,2,2481.06,3,Potential Loyalist
12629.0,21,2,1558.22,1,New / Occasional
12631.0,92,5,2841.07,3,Potential Loyalist
12632.0,156,2,804.88,2,At-Risk / Lost
12633.0,18,3,3514.18,3,Potential Loyalist
12634.0,171,2,490.0,2,At-Risk / Lost
12635.0,28,2,1241.23,1,New / Occasional
12636.0,374,1,141.0,2,At-Risk / Lost
12637.0,14,4,2280.91,3,Potential Loyalist
12638.0,275,1,249.8,2,At-Risk / Lost
12639.0,70,2,826.27,3,Potential Loyalist
12643.0,21,6,4960.18,0,High-Value Loyal
12644.0,66,3,1440.58,3,Potential Loyalist
12645.0,45,4,1764.12,3,Potential Loyalist
12647.0,3,27,14201.53,0,High-Value Loyal
12648.0,73,3,793.95,3,Potential Loyalist
12649.0,18,5,1671.1399999999999,3,Potential Loyalist
12651.0,14,3,263.75,1,New / Occasional
12652.0,70,1,97.05000000000001,2,At-Risk / Lost
12653.0,162,1,1950.98,3,Potential Loyalist
12655.0,59,1,261.35,2,At-Risk / Lost
12656.0,61,3,2356.66,3,Potential Loyalist
12661.0,72,1,162.0,2,At-Risk / Lost
12662.0,9,10,3138.2400000000002,0,High-Value Loyal
12663.0,260,2,239.4,2,At-Risk / Lost
12664.0,150,2,1188.16,3,Potential Loyalist
12665.0,53,2,250.6,1,New / Occasional
12666.0,30,1,1248.42,1,New / Occasional
12668.0,14,6,7575.88,0,High-Value Loyal
12670.0,21,2,764.24,1,New / Occasional
12671.0,242,1,2622.481,3,Potential Loyalist
12672.0,231,1,211.15,2,At-Risk / Lost
12673.0,37,1,619.5,1,New / Occasional
12675.0,189,2,957.25,3,Potential Loyalist
12676.0,44,5,1511.7,3,Potential Loyalist
12677.0,191,2,395.1,2,At-Risk / Lost
12678.0,11,9,16652.72,0,High-Value Loyal
12681.0,3,24,17080.74,0,High-Value Loyal
12682.0,1,23,11745.69,0,High-Value Loyal
12683.0,1,8,4220.21,0,High-Value Loyal
12686.0,7,1,89.14,1,New / Occasional
12687.0,116,2,2138.91,3,Potential Loyalist
12691.0,56,1,134.6,2,At-Risk / Lost
12692.0,273,1,110.95,2,At-Risk / Lost
12693.0,32,3,847.11,3,Potential Loyalist
12694.0,57,1,973.68,1,New / Occasional
12695.0,164,3,825.02,3,Potential Loyalist
12696.0,70,2,851.91,3,Potential Loyalist
12698.0,226,1,339.75,2,At-Risk / Lost
12699.0,53,1,638.11,1,New / Occasional
12701.0,165,4,1648.7,3,Potential Loyalist
12703.0,269,3,722.98,3,Potential Loyalist
12705.0,19,5,4893.81,0,High-Value Loyal
12708.0,4,9,2601.19,0,High-Value Loyal
12709.0,2,20,21107.94,0,High-Value Loyal
12711.0,247,2,1339.05,3,Potential Loyalist
12712.0,1,10,2797.53,0,High-Value Loyal
12714.0,24,7,9384.85,0,High-Value Loyal
12717.0,226,1,277.93,2,At-Risk / Lost
12720.0,5,6,2478.94,0,High-Value Loyal
12721.0,21,2,1356.95,1,New / Occasional
12724.0,19,3,1286.11,3,Potential Loyalist
12725.0,7,4,2266.76,0,High-Value Loyal
12726.0,23,4,1405.5,3,Potential Loyalist
12727.0,78,3,1698.8300000000002,3,Potential Loyalist
12728.0,19,1,233.84,1,New / Occasional
12730.0,157,1,829.25,2,At-Risk / Lost
12731.0,78,5,6879.8,3,Potential Loyalist
12733.0,25,3,2040.92,3,Potential Loyalist
12734.0,10,2,529.25,1,New / Occasional
12737.0,134,2,3710.5,3,Potential Loyalist
12738.0,8,1,155.35,1,New / Occasional
12739.0,21,2,1713.69,3,Potential Loyalist
12741.0,165,2,406.07,2,At-Risk / Lost
12742.0,261,1,1201.52,2,At-Risk / Lost
12744.0,95,4,4037.77,3,Potential Loyalist
12745.0,122,3,925.41,3,Potential Loyalist
12746.0,176,1,254.55,2,At-Risk / Lost
12747.0,5,16,5061.03,0,High-Value Loyal
12748.0,1,144,22457.9,0,High-Value Loyal
12749.0,35,4,2806.48,3,Potential Loyalist
12751.0,80,1,268.27,2,At-Risk / Lost
12755.0,1,10,5218.709999999999,0,High-Value Loyal
12758.0,95,5,7111.650000000001,3,Potential Loyalist
12759.0,22,5,3489.3,3,Potential Loyalist
12760.0,91,1,347.8,2,At-Risk / Lost
12761.0,93,2,782.95,3,Potential Loyalist
12763.0,5,1,320.08,1,New / Occasional
12765.0,108,6,1404.58,3,Potential Loyalist
12766.0,2,3,3078.65,0,High-Value Loyal
12767.0,11,1,949.82,1,New / Occasional
12768.0,86,1,168.69000000000003,2,At-Risk / Lost
12770.0,92,1,1895.0,3,Potential Loyalist
12771.0,121,1,282.3,2,At-Risk / Lost
12773.0,200,1,124.25,2,At-Risk / Lost
12774.0,171,1,98.7,2,At-Risk / Lost
12775.0,24,2,300.08,1,New / Occasional
12776.0,303,1,55.5,2,At-Risk / Lost
12777.0,93,1,519.45,2,At-Risk / Lost
12778.0,32,3,953.45,3,Potential Loyalist
12779.0,7,7,2740.91,0,High-Value Loyal
12780.0,234,1,337.4,2,At-Risk / Lost
12782.0,10,6,2287.32,0,High-Value Loyal
12784.0,165,1,1230.33,2,At-Risk / Lost
12785.0,171,2,788.45,2,At-Risk / Lost
12786.0,245,1,728.5,2,At-Risk / Lost
12787.0,49,1,398.52,1,New / Occasional
12788.0,99,4,444.9,3,Potential Loyalist
12789.0,148,2,181.5,2,At-Risk / Lost
12790.0,46,1,266.93,1,New / Occasional
12791.0,9,6,863.51,0,High-Value Loyal
12792.0,170,1,426.47,2,At-Risk / Lost
12793.0,7,2,471.85,1,New / Occasional
12796.0,264,1,381.0,2,At-Risk / Lost
12797.0,1,2,552.08,1,New / Occasional
12798.0,57,1,1533.8899999999999,3,Potential Loyalist
12799.0,165,1,219.35,2,At-Risk / Lost
12800.0,106,3,584.25,3,Potential Loyalist
12801.0,136,1,1071.82,2,At-Risk / Lost
12802.0,78,6,1988.84,3,Potential Loyalist
12803.0,29,1,1092.81,1,New / Occasional
12804.0,101,2,325.37,2,At-Risk / Lost
12805.0,17,4,1434.95,3,Potential Loyalist
12806.0,71,4,2878.96,3,Potential Loyalist
12807.0,19,1,330.35,1,New / Occasional
12808.0,4,3,422.45,1,New / Occasional
12809.0,201,2,1266.63,3,Potential Loyalist
12810.0,170,2,534.99,2,At-Risk / Lost
12811.0,14,2,519.05,1,New / Occasional
12813.0,137,3,1687.8,3,Potential Loyalist
12817.0,35,2,524.94,1,New / Occasional
12819.0,94,1,540.52,2,At-Risk / Lost
12820.0,33,7,1747.18,3,Potential Loyalist
12821.0,247,1,128.07999999999998,2,At-Risk / Lost
12823.0,30,13,4742.0,0,High-Value Loyal
12825.0,157,2,518.63,2,At-Risk / Lost
12826.0,1,6,1481.03,0,High-Value Loyal
12829.0,186,1,92.30000000000001,2,At-Risk / Lost
12831.0,99,2,236.06,2,At-Risk / Lost
12835.0,63,41,5996.83,0,High-Value Loyal
12836.0,25,11,3949.37,0,High-Value Loyal
12837.0,205,1,528.5600000000001,2,At-Risk / Lost
12838.0,9,9,2694.75,0,High-Value Loyal
12839.0,3,13,4480.31,0,High-Value Loyal
12840.0,73,3,1315.2,3,Potential Loyalist
12841.0,5,17,3472.61,0,High-Value Loyal
12842.0,40,2,799.0,1,New / Occasional
12843.0,18,22,4881.1,0,High-Value Loyal
12844.0,78,2,322.64,2,At-Risk / Lost
12846.0,318,1,15.58,2,At-Risk / Lost
12847.0,23,1,765.36,1,New / Occasional
12848.0,311,1,208.0,2,At-Risk / Lost
12849.0,17,4,2032.18,3,Potential Loyalist
12850.0,81,1,330.0,2,At-Risk / Lost
12851.0,113,1,148.95,2,At-Risk / Lost
12853.0,63,5,1950.4,3,Potential Loyalist
12854.0,197,4,1654.72,3,Potential Loyalist
12855.0,8,4,612.84,1,New / Occasional
12857.0,72,4,2581.6,3,Potential Loyalist
12858.0,19,1,147.27,1,New / Occasional
12859.0,94,1,575.1,2,At-Risk / Lost
12860.0,329,1,54.22,2,At-Risk / Lost
12861.0,255,1,68.25,2,At-Risk / Lost
12862.0,61,2,984.62,3,Potential Loyalist
12863.0,15,5,2271.35,0,High-Value Loyal
12864.0,144,1,152.45,2,At-Risk / Lost
12865.0,14,2,1755.24,1,New / Occasional
12866.0,110,2,668.23,2,At-Risk / Lost
12867.0,33,6,3819.92,3,Potential Loyalist
12868.0,9,3,640.0,1,New / Occasional
12869.0,317,1,337.66999999999996,2,At-Risk / Lost
12870.0,11,3,1676.95,1,New / Occasional
12871.0,75,1,363.38,2,At-Risk / Lost
12872.0,1,11,3062.52,0,High-Value Loyal
12873.0,33,2,1653.3,3,Potential Loyalist
12874.0,21,2,948.42,1,New / Occasional
12875.0,107,3,1013.76,3,Potential Loyalist
12876.0,30,2,1863.77,3,Potential Loyalist
12877.0,37,8,1406.3700000000001,3,Potential Loyalist
12880.0,17,2,640.13,1,New / Occasional
12887.0,19,1,222.4,1,New / Occasional
12889.0,17,4,385.46000000000004,1,New / Occasional
12890.0,23,1,329.3,1,New / Occasional
12891.0,94,8,509.5,3,Potential Loyalist
12892.0,32,1,263.38,1,New / Occasional
12894.0,211,1,157.35,2,At-Risk / Lost
12897.0,17,2,297.75,1,New / Occasional
12898.0,99,2,296.21000000000004,2,At-Risk / Lost
12899.0,49,1,366.4,1,New / Occasional
12900.0,58,1,340.33,2,At-Risk / Lost
12903.0,64,1,833.53,1,New / Occasional
12905.0,212,2,1018.42,3,Potential Loyalist
12907.0,31,2,508.91,1,New / Occasional
12908.0,16,3,1026.0,1,New / Occasional
12909.0,60,3,924.52,3,Potential Loyalist
12910.0,15,5,2721.48,0,High-Value Loyal
12911.0,187,1,1651.72,2,At-Risk / Lost
12913.0,4,9,4217.2300000000005,0,High-Value Loyal
12914.0,36,1,223.98,1,New / Occasional
12915.0,8,3,811.1,1,New / Occasional
12916.0,78,3,1534.78,3,Potential Loyalist
12917.0,36,5,3765.2,3,Potential Loyalist
12918.0,262,1,10953.5,3,Potential Loyalist
12920.0,207,3,323.86,2,At-Risk / Lost
12921.0,2,39,19333.95,0,High-Value Loyal
12923.0,26,2,597.6,1,New / Occasional
12924.0,29,8,1535.7,3,Potential Loyalist
12925.0,228,1,35.28,2,At-Risk / Lost
12926.0,47,4,1523.97,3,Potential Loyalist
12927.0,30,1,197.31,1,New / Occasional
12928.0,14,7,2242.19,0,High-Value Loyal
12931.0,16,42,50291.38,0,High-Value Loyal
12932.0,175,8,1698.56,3,Potential Loyalist
12933.0,16,5,1029.1,3,Potential Loyalist
12934.0,372,1,181.65,2,At-Risk / Lost
12935.0,11,8,2083.16,0,High-Value Loyal
12937.0,99,5,1593.34,3,Potential Loyalist
12939.0,15,12,13683.0,0,High-Value Loyal
12941.0,360,1,377.49,2,At-Risk / Lost
12942.0,1,1,258.75,1,New / Occasional
12943.0,194,2,496.5,2,At-Risk / Lost
12945.0,292,1,437.16,2,At-Risk / Lost
12946.0,72,1,324.45,2,At-Risk / Lost
12947.0,9,1,304.04,1,New / Occasional
12948.0,366,2,252.48000000000002,2,At-Risk / Lost
12949.0,18,14,11359.48,0,High-Value Loyal
12951.0,22,9,2149.65,0,High-Value Loyal
12953.0,158,1,498.96000000000004,2,At-Risk / Lost
12954.0,274,1,162.45,2,At-Risk / Lost
12956.0,320,3,413.82,2,At-Risk / Lost
12957.0,177,5,4689.43,3,Potential Loyalist
12958.0,36,2,467.34,1,New / Occasional
12959.0,120,1,150.95,2,At-Risk / Lost
12960.0,49,4,1322.07,3,Potential Loyalist
12961.0,15,1,211.99,1,New / Occasional
12963.0,1,5,1744.96,0,High-Value Loyal
12964.0,73,1,132.24,2,At-Risk / Lost
12967.0,7,2,2646.02,1,New / Occasional
12969.0,238,1,122.45,2,At-Risk / Lost
12970.0,16,6,1048.13,3,Potential Loyalist
12971.0,2,33,4782.88,0,High-Value Loyal
12972.0,49,4,1161.2,3,Potential Loyalist
12973.0,49,1,385.55,1,New / Occasional
12974.0,201,1,264.15,2,At-Risk / Lost
12975.0,72,6,2100.09,3,Potential Loyalist
12976.0,14,7,2417.7799999999997,0,High-Value Loyal
12977.0,137,3,474.64,2,At-Risk / Lost
12978.0,21,5,2502.82,3,Potential Loyalist
12979.0,365,1,517.7,2,At-Risk / Lost
12980.0,22,12,8870.880000000001,0,High-Value Loyal
12982.0,30,7,2354.27,3,Potential Loyalist
12983.0,234,1,490.08000000000004,2,At-Risk / Lost
12986.0,64,10,2729.84,3,Potential Loyalist
12987.0,56,3,753.51,3,Potential Loyalist
12989.0,60,18,6627.64,0,High-Value Loyal
12990.0,53,4,546.0,3,Potential Loyalist
12991.0,25,1,261.06,1,New / Occasional
12992.0,361,1,93.35000000000001,2,At-Risk / Lost
12993.0,81,4,844.87,3,Potential Loyalist
12996.0,11,1,355.5,1,New / Occasional
12997.0,30,4,884.02,3,Potential Loyalist
12998.0,128,3,920.08,3,Potential Loyalist
13000.0,361,1,497.65000000000003,2,At-Risk / Lost
13001.0,40,20,14256.68,0,High-Value Loyal
13002.0,52,2,293.18,1,New / Occasional
13004.0,22,18,5994.94,0,High-Value Loyal
13005.0,67,2,485.98,1,New / Occasional
13007.0,215,1,175.25,2,At-Risk / Lost
13008.0,33,2,382.66,1,New / Occasional
13009.0,308,1,234.0,2,At-Risk / Lost
13010.0,10,2,330.12,1,New / Occasional
13011.0,8,1,50.550000000000004,1,New / Occasional
13012.0,65,3,1310.99,3,Potential Loyalist
13013.0,7,18,7814.83,0,High-Value Loyal
13014.0,68,1,1914.8,3,Potential Loyalist
13015.0,74,6,3240.14,3,Potential Loyalist
13018.0,49,7,2485.46,3,Potential Loyalist
13019.0,15,6,1229.95,3,Potential Loyalist
13020.0,198,2,618.96,2,At-Risk / Lost
13021.0,10,8,2270.86,0,High-Value Loyal
13022.0,65,1,65.3,2,At-Risk / Lost
13023.0,164,1,759.13,2,At-Risk / Lost
13024.0,106,2,555.87,2,At-Risk / Lost
13025.0,367,1,323.39,2,At-Risk / Lost
13026.0,124,4,757.72,3,Potential Loyalist
13027.0,21,13,10327.2,0,High-Value Loyal
13029.0,10,2,679.8,1,New / Occasional
13030.0,4,1,402.36,1,New / Occasional
13031.0,43,5,3292.84,3,Potential Loyalist
13032.0,28,7,1805.78,3,Potential Loyalist
13033.0,65,1,30.0,2,At-Risk / Lost
13034.0,5,2,279.91,1,New / Occasional
13035.0,67,1,442.32,2,At-Risk / Lost
13036.0,320,1,307.1,2,At-Risk / Lost
13037.0,35,9,3033.88,0,High-Value Loyal
13039.0,220,4,1010.73,3,Potential Loyalist
13041.0,86,4,799.13,3,Potential Loyalist
13042.0,234,3,1488.59,3,Potential Loyalist
13044.0,128,10,4287.58,3,Potential Loyalist
13045.0,37,2,503.64,1,New / Occasional
13046.0,92,1,319.94,2,At-Risk / Lost
13047.0,9,17,5557.62,0,High-Value Loyal
13048.0,72,5,2229.72,3,Potential Loyalist
13049.0,25,2,751.5600000000001,1,New / Occasional
13050.0,2,19,6477.67,0,High-Value Loyal
13051.0,214,2,155.8,2,At-Risk / Lost
13052.0,56,6,2771.18,3,Potential Loyalist
13053.0,257,1,127.65,2,At-Risk / Lost
13055.0,65,1,1106.7,3,Potential Loyalist
13056.0,187,1,209.48,2,At-Risk / Lost
13057.0,166,3,709.59,3,Potential Loyalist
13059.0,49,9,2108.37,3,Potential Loyalist
13063.0,116,1,188.4,2,At-Risk / Lost
13064.0,186,2,561.25,2,At-Risk / Lost
13065.0,9,5,1055.05,1,New / Occasional
13067.0,45,2,393.05,1,New / Occasional
13069.0,5,16,5185.51,0,High-Value Loyal
13070.0,95,3,522.9,3,Potential Loyalist
13071.0,248,1,129.22,2,At-Risk / Lost
13073.0,47,2,418.08,1,New / Occasional
13074.0,147,4,1378.74,3,Potential Loyalist
13076.0,93,1,135.4,2,At-Risk / Lost
13077.0,2,8,2326.35,0,High-Value Loyal
13078.0,2,32,16904.510000000002,0,High-Value Loyal
13079.0,53,1,199.08,2,At-Risk / Lost
13080.0,37,3,222.65,1,New / Occasional
13081.0,7,19,30867.77,0,High-Value Loyal
13082.0,60,12,3722.12,0,High-Value Loyal
13083.0,61,1,91.67999999999999,2,At-Risk / Lost
13084.0,127,1,122.39999999999999,2,At-Risk / Lost
13085.0,315,6,2017.2,3,Potential Loyalist
13086.0,18,1,439.33000000000004,1,New / Occasional
13087.0,362,1,313.64,2,At-Risk / Lost
13088.0,53,1,236.11,2,At-Risk / Lost
13089.0,4,109,57885.45,0,High-Value Loyal
13090.0,1,13,5189.32,0,High-Value Loyal
13091.0,365,2,1976.0,3,Potential Loyalist
13092.0,50,7,1662.45,3,Potential Loyalist
13093.0,9,48,47111.18,0,High-Value Loyal
13094.0,4,2,505.8,1,New / Occasional
13096.0,30,1,419.70000000000005,1,New / Occasional
13097.0,24,18,7320.88,0,High-Value Loyal
13101.0,134,3,594.21,3,Potential Loyalist
13102.0,1,14,5272.83,0,High-Value Loyal
13103.0,73,2,465.70000000000005,2,At-Risk / Lost
13104.0,51,3,610.62,3,Potential Loyalist
13105.0,72,1,72.0,2,At-Risk / Lost
13106.0,49,1,526.96,1,New / Occasional
13107.0,49,5,3721.45,3,Potential Loyalist
13108.0,8,2,748.46,1,New / Occasional
13109.0,187,1,347.49,2,At-Risk / Lost
13110.0,73,5,1468.8000000000002,3,Potential Loyalist
13111.0,354,1,321.88000000000005,2,At-Risk / Lost
13112.0,177,1,20.6,2,At-Risk / Lost
13113.0,2,14,6357.08,0,High-Value Loyal
13114.0,366,1,234.38,2,At-Risk / Lost
13115.0,15,6,3199.92,0,High-Value Loyal
13117.0,1,12,1658.8999999999999,0,High-Value Loyal
13118.0,12,4,1217.6,1,New / Occasional
13119.0,304,1,134.9,2,At-Risk / Lost
13123.0,108,2,506.75,2,At-Risk / Lost
13124.0,21,1,885.33,1,New / Occasional
13125.0,159,1,148.62,2,At-Risk / Lost
13126.0,2,7,1898.6100000000001,0,High-Value Loyal
13128.0,267,1,263.5,2,At-Risk / Lost
13129.0,88,2,233.25,2,At-Risk / Lost
13131.0,54,4,2240.47,3,Potential Loyalist
13133.0,95,1,90.65,2,At-Risk / Lost
13134.0,38,2,681.65,1,New / Occasional
13135.0,127,1,275.45,2,At-Risk / Lost
13136.0,11,8,3666.9500000000003,0,High-Value Loyal
13137.0,22,8,3983.65,0,High-Value Loyal
13138.0,8,2,504.85,1,New / Occasional
13139.0,73,1,3138.04,3,Potential Loyalist
13140.0,2,3,790.71,1,New / Occasional
13141.0,21,12,5267.33,0,High-Value Loyal
13143.0,220,1,405.1,2,At-Risk / Lost
13144.0,67,1,24.4,2,At-Risk / Lost
13145.0,8,4,805.0,1,New / Occasional
13148.0,25,14,4814.56,0,High-Value Loyal
13150.0,120,3,449.96999999999997,2,At-Risk / Lost
13151.0,261,2,1207.34,3,Potential Loyalist
13152.0,53,7,2146.38,3,Potential Loyalist
13154.0,35,3,1624.84,3,Potential Loyalist
13155.0,4,3,778.42,1,New / Occasional
13156.0,21,3,1586.54,3,Potential Loyalist
13157.0,45,5,3946.14,3,Potential Loyalist
13158.0,24,1,307.12,1,New / Occasional
13161.0,136,1,359.38,2,At-Risk / Lost
13162.0,16,12,7587.2,0,High-Value Loyal
13163.0,246,1,17.65,2,At-Risk / Lost
